iter	Passed	Remaining
417	2710	3773
418	2716	3767
419	2723	3761
420	2729	3754
421	2734	3746
422	2741	3739
423	2747	3732
424	2754	3726
425	2760	3720
426	2767	3713
427	2773	3707
428	2780	3700
429	2786	3693
430	2793	3687
431	2799	3681
432	2806	3674
433	2812	3668
434	2819	3661
435	2825	3655
436	2832	3648
437	2838	3642
438	2845	3635
439	2848	3624
440	2854	3618
441	2860	3611
442	2867	3605
443	2874	3599
444	2880	3592
445	2887	3586
446	2893	3579
447	2899	3572
448	2906	3566
449	2911	3558
450	2918	3552
451	2924	3545
452	2931	3539
453	2937	3532
454	2944	3526
455	2950	3519
456	2957	3513
457	2963	3507
458	2968	3499
459	2975	3492
460	2981	3485
461	2988	3479
462	2994	3473
463	3000	3466
464	3007	3460
465	3014	3453
466	3020	3447
467	3027	3441
468	3033	3434
469	3040	3428
470	3046	3421
471	3053	3415
472	3059	3408
473	3065	3402
474	3072	3395
475	3078	3389
476	3085	3382
477	3091	3376
478	3097	3369
479	3104	3363
480	3110	3356
481	3117	3349
482	3123	3343
483	3129	3336
484	3136	3330
485	3142	3323
486	3149	3317
487	3155	3310
488	3161	3304
489	3168	3297
490	3174	3291
491	3181	3285
492	3184	3274
493	3190	3268
494	3197	3261
495	3203	3255
496	3210	3249
497	3216	3242
498	3223	3236
499	3229	3229
500	3236	3223
501	3242	3217
502	3249	3210
503	3255	3204
504	3262	3197
505	3268	3191
506	3275	3184
507	3281	3178
508	3288	3171
509	3294	3165
510	3300	3158
511	3307	3152
512	3313	3145
513	3320	3139
514	3326	3132
515	3333	3126
516	3339	3120
517	3346	3113
518	3352	3107
519	3358	3100
520	3365	3094
521	3371	3087
522	3378	3081
523	3384	3074
524	3391	3068
525	3397	3061
526	3403	3055
527	3410	3048
528	3416	3042
529	3423	3035
530	3429	3029
531	3436	3022
532	3442	3016
533	3449	3010
534	3455	3003
535	3462	2997
536	3468	2990
537	3474	2984
538	3481	2977
539	3492	2975
540	3502	2971
541	3513	2968
542	3519	2962
543	3526	2955
544	3532	2949
545	3539	2942
546	3545	2936
547	3552	2929
548	3558	2923
549	3564	2916
550	3571	2910
551	3578	2903
552	3584	2897
553	3590	2890
554	3597	2884
555	3603	2877
556	3610	2871
557	3616	2864
558	3622	2858
559	3629	2851
560	3635	2845
561	3641	2838
562	3648	2831
563	3654	2825
564	3661	2819
565	3667	2812
566	3674	2805
567	3680	2799
568	3686	2792
569	3693	2786
570	3700	2779
571	3706	2773
572	3713	2767
573	3719	2760
574	3726	2754
575	3733	2747
576	3739	2741
577	3745	2734
578	3752	2728
579	3758	2721
580	3765	2715
581	3771	2708
582	3778	2702
583	3784	2695
584	3791	2689
585	3797	2682
586	3805	2677
587	3811	2670
588	3817	2664
589	3824	2657
590	3831	2651
591	3837	2644
592	3843	2638
593	3850	2631
594	3856	2625
595	3862	2618
596	3869	2611
597	3875	2605
598	3882	2598
599	3888	2592
600	3895	2586
601	3901	2579
602	3908	2573
603	3914	2566
604	3921	2560
605	3927	2553
606	3933	2547
607	3940	2540
608	3946	2534
609	3953	2527
610	3959	2521
611	3966	2514
612	3973	2508
613	3979	2501
614	3986	2495
615	3992	2488
616	3999	2482
617	4005	2476
618	4012	2469
619	4018	2463
620	4024	2456
621	4031	2449
622	4034	2441
623	4040	2434
624	4047	2428
625	4053	2422
626	4060	2415
627	4066	2408
628	4073	2402
629	4079	2395
630	4086	2389
631	4092	2383
632	4099	2376
633	4105	2370
634	4112	2363
635	4118	2357
636	4125	2350
637	4131	2344
638	4138	2337
639	4144	2331
640	4151	2324
641	4157	2318
642	4164	2312
643	4170	2305
644	4177	2299
645	4183	2292
646	4190	2286
647	4197	2279
648	4203	2273
649	4209	2266
650	4216	2260
651	4223	2254
652	4229	2247
653	4236	2241
654	4242	2234
655	4249	2228
656	4255	2221
657	4262	2215
658	4268	2208
659	4274	2202
660	4281	2195
661	4287	2189
662	4294	2182
663	4300	2176
664	4306	2169
665	4313	2163
666	4320	2156
667	4326	2150
668	4332	2143
669	4339	2137
670	4346	2130
671	4352	2124
672	4358	2117
673	4365	2111
674	4371	2104
675	4378	2098
676	4384	2092
677	4391	2085
678	4398	2079
679	4404	2072
680	4411	2066
681	4417	2059
682	4424	2053
683	4430	2046
684	4436	2040
685	4443	2033
686	4449	2027
687	4456	2020
688	4462	2014
689	4473	2009
690	4484	2005
691	4491	1998
692	4499	1993
693	4506	1987
694	4513	1980
695	4519	1974
696	4526	1967
697	4532	1961
698	4539	1954
699	4545	1948
700	4551	1941
701	4558	1935
702	4564	1928
703	4571	1921
704	4577	1915
705	4584	1908
706	4590	1902
707	4597	1896
708	4599	1887
709	4606	1881
710	4612	1874
711	4618	1868
712	4625	1861
713	4631	1855
714	4638	1848
715	4644	1842
716	4651	1835
717	4657	1829
718	4664	1822
719	4670	1816
720	4676	1809
721	4683	1803
722	4690	1796
723	4696	1790
724	4703	1783
725	4709	1777
726	4715	1770
727	4722	1764
728	4728	1757
729	4734	1751
730	4741	1744
731	4747	1738
732	4754	1731
733	4760	1725
734	4767	1718
735	4774	1712
736	4780	1705
737	4786	1699
738	4793	1692
739	4800	1686
740	4807	1680
741	4813	1673
742	4820	1667
743	4826	1660
744	4832	1654
745	4839	1647
746	4845	1641
747	4852	1634
748	4858	1628
749	4865	1621
750	4872	1615
751	4878	1608
752	4884	1602
753	4891	1595
754	4897	1589
755	4904	1582
756	4910	1576
757	4917	1569
758	4923	1563
759	4930	1556
760	4937	1550
761	4943	1544
762	4950	1537
763	4956	1531
764	4962	1524
765	4969	1518
766	4975	1511
767	4982	1505
768	4988	1498
769	4995	1492
770	5001	1485
771	5008	1479
772	5014	1472
773	5021	1466
774	5027	1459
775	5034	1453
776	5040	1446
777	5046	1440
778	5053	1433
779	5059	1427
780	5066	1420
781	5072	1414
782	5079	1407
783	5085	1401
784	5091	1394
785	5098	1388
786	5104	1381
787	5111	1375
788	5118	1368
789	5124	1362
790	5131	1355
791	5137	1349
792	5143	1342
793	5151	1336
794	5157	1329
795	5163	1323
796	5170	1316
797	5176	1310
798	5183	1304
799	5190	1297
800	5196	1291
801	5203	1284
802	5209	1278
803	5216	1271
804	5222	1265
805	5229	1258
806	5235	1252
807	5241	1245
808	5248	1239
809	5255	1232
810	5262	1226
811	5268	1219
812	5274	1213
813	5281	1206
814	5288	1200
815	5294	1193
816	5301	1187
817	5307	1180
818	5314	1174
819	5320	1168
820	5327	1161
821	5333	1154
822	5340	1148
823	5346	1142
824	5353	1135
825	5359	1129
826	5365	1122
827	5372	1116
828	5379	1109
829	5385	1103
830	5392	1096
831	5398	1090
832	5405	1083
833	5411	1077
834	5418	1070
835	5424	1064
836	5431	1057
837	5437	1051
838	5444	1044
839	5456	1039
840	5467	1033
841	5478	1028
842	5485	1021
843	5491	1015
844	5498	1008
845	5504	1002
846	5510	995
847	5517	988
848	5523	982
849	5530	975
850	5536	969
851	5543	962
852	5549	956
853	5556	949
854	5562	943
855	5569	936
856	5575	930
857	5582	923
858	5589	917
859	5595	910
860	5602	904
861	5608	897
862	5615	891
863	5622	884
864	5628	878
865	5635	872
866	5644	865
867	5651	859
868	5658	852
869	5665	846
870	5673	840
871	5680	833
872	5686	827
873	5693	820
874	5699	814
875	5706	807
876	5713	801
877	5719	794
878	5726	788
879	5733	781
880	5740	775
881	5747	768
882	5754	762
883	5761	755
884	5768	749
885	5774	743
886	5781	736
887	5788	730
888	5798	723
889	5805	717
890	5811	710
891	5818	704
892	5825	697
893	5831	691
894	5838	684
895	5844	678
896	5851	671
897	5857	665
898	5864	658
899	5870	652
900	5877	645
901	5883	639
902	5890	632
903	5896	626
904	5903	619
905	5909	613
906	5915	606
907	5922	600
908	5928	593
909	5934	586
910	5941	580
911	5947	573
912	5954	567
913	5960	560
914	5967	554
915	5973	547
916	5980	541
917	5986	534
918	5993	528
919	5999	521
920	6006	515
921	6012	508
922	6019	502
923	6025	495
924	6032	489
925	6038	482
926	6045	476
927	6051	469
928	6057	462
929	6064	456
930	6070	449
931	6077	443
932	6083	436
933	6090	430
934	6096	423
935	6103	417
936	6109	410
937	6116	404
938	6122	397
939	6130	391
940	6136	384
941	6142	378
942	6149	371
943	6155	365
944	6162	358
945	6168	352
946	6175	345
947	6181	339
948	6188	332
949	6194	326
950	6200	319
951	6207	312
952	6213	306
953	6220	299
954	6226	293
955	6233	286
956	6239	280
957	6246	273
958	6253	267
959	6259	260
960	6266	254
961	6272	247
962	6279	241
963	6285	234
964	6291	228
965	6298	221
966	6304	215
967	6311	208
968	6318	202
969	6324	195
970	6330	189
971	6337	182
972	6343	176
973	6350	169
974	6356	162
975	6363	156
976	6369	149
977	6376	143
978	6382	136
979	6389	130
980	6395	123
981	6402	117
982	6409	110
983	6415	104
984	6422	97
985	6430	91
986	6441	84
987	6451	78
988	6461	71
989	6467	65
990	6474	58
991	6480	52
992	6487	45
993	6493	39
994	6499	32
995	6506	26
996	6513	19
997	6519	13
998	6525	6
999	6532	0
