iter	Logloss
0	0.6764032516
1	0.662854822
2	0.6503615433
3	0.6374433572
4	0.6264040614
5	0.6175623714
6	0.6072467356
7	0.597813613
8	0.5909822727
9	0.583471084
10	0.5768609484
11	0.5684062235
12	0.5625874283
13	0.5573426341
14	0.5519342072
15	0.5469661456
16	0.5437384633
17	0.540582084
18	0.5342057135
19	0.5311375952
20	0.529115628
21	0.5245497983
22	0.5214692105
23	0.5194066954
24	0.5170770636
25	0.5143359217
26	0.5122992074
27	0.5099617841
28	0.5068818301
29	0.5049150142
30	0.503581287
31	0.501770476
32	0.5003588951
33	0.4991401381
34	0.4975326095
35	0.4964234444
36	0.4955030145
37	0.4948402425
38	0.4931456714
39	0.4918070123
40	0.4908540048
41	0.4897294552
42	0.4882308193
43	0.4874826608
44	0.4863362703
45	0.4858461622
46	0.4850474588
47	0.4841735074
48	0.4834110874
49	0.4826739653
50	0.4810345286
51	0.480360087
52	0.4793879835
53	0.4786565233
54	0.477601327
55	0.4770564765
56	0.4765953936
57	0.4762294957
58	0.4757037778
59	0.4745776445
60	0.4740824834
61	0.4732082778
62	0.472600958
63	0.471533046
64	0.4711682367
65	0.4699161924
66	0.4692923578
67	0.468674546
68	0.4682311825
69	0.4678094912
70	0.4671062461
71	0.4661859042
72	0.4656213879
73	0.4649962592
74	0.4643248327
75	0.4637897632
76	0.462530228
77	0.4621225092
78	0.4617073794
79	0.4607438499
80	0.4604453339
81	0.4599233015
82	0.4596315507
83	0.4593424652
84	0.4589457823
85	0.4583225435
86	0.457443194
87	0.4569974045
88	0.4566543218
89	0.4558252399
90	0.4552603176
91	0.4547307916
92	0.4543616469
93	0.453965274
94	0.4535860308
95	0.453202832
96	0.4530279598
97	0.4523372339
98	0.4519323715
99	0.451651387
100	0.4511858346
101	0.4510026486
102	0.4507610523
103	0.4503441919
104	0.4500056832
105	0.4497324091
106	0.4493575945
107	0.4487282671
108	0.4484070802
109	0.4480688244
110	0.4477420453
111	0.4475083629
112	0.4472488334
113	0.4463742999
114	0.4459420161
115	0.4455743519
116	0.445323554
117	0.4448923349
118	0.4443796393
119	0.4442464198
120	0.4438797834
121	0.4436083644
122	0.443234438
123	0.4429657384
124	0.4426066151
125	0.4422153751
126	0.441825519
127	0.4416446772
128	0.4413068663
129	0.4410368351
130	0.4405211484
131	0.4403404878
132	0.4399601145
133	0.4397130899
134	0.4396199925
135	0.4393223331
136	0.439053925
137	0.4386214265
138	0.4383226524
139	0.4381567165
140	0.437748874
141	0.4376128813
142	0.4373083523
143	0.4372089668
144	0.4367262335
145	0.4365004436
146	0.4362057578
147	0.4359763787
148	0.4357544356
149	0.4353728766
150	0.4350022364
151	0.4349967781
152	0.4347690435
153	0.4345037106
154	0.4339869784
155	0.4336918826
156	0.4335208686
157	0.4332141757
158	0.4328771637
159	0.4325763457
160	0.432254195
161	0.4320319454
162	0.4319022972
163	0.4317720565
164	0.4315120919
165	0.4311365412
166	0.4308620745
167	0.4306779475
168	0.4303330939
169	0.4300758647
170	0.4298706472
171	0.4296926289
172	0.4295910323
173	0.4293041158
174	0.4290898049
175	0.4289123558
176	0.4285864767
177	0.4283633133
178	0.4281882876
179	0.4280304887
180	0.4278193153
181	0.4277455701
182	0.4274809907
183	0.4269844976
184	0.4267549508
185	0.4262103031
186	0.4260194057
187	0.4255410392
188	0.4254565104
189	0.4252472214
190	0.4250652436
191	0.4249072468
192	0.4246590954
193	0.4246047101
194	0.4242733527
195	0.4241554937
196	0.4238730733
197	0.4235850594
198	0.4233395482
199	0.4231349024
200	0.4230711566
201	0.4228864233
202	0.4224249793
203	0.4223118496
204	0.4221728868
205	0.4219784944
206	0.4217753349
207	0.4215306427
208	0.4212550803
209	0.421129469
210	0.4208366562
211	0.4205766424
212	0.4204941968
213	0.4203352136
214	0.4201202595
215	0.4199130388
216	0.4196821376
217	0.4195674212
218	0.4194103857
219	0.41917037
220	0.418894347
221	0.4188833938
222	0.4186998503
223	0.4185584462
224	0.4183260869
225	0.4182487959
226	0.4180191752
227	0.4176617044
228	0.4174855066
229	0.4173551208
230	0.4172087485
231	0.4170397331
232	0.4166076019
233	0.4163598481
234	0.4161740302
235	0.4158646347
236	0.4156156597
237	0.415274846
238	0.4151346766
239	0.4151279155
240	0.4148769586
241	0.4145960848
242	0.4144530506
243	0.4142122579
244	0.4139866683
245	0.4137715712
246	0.4136324298
247	0.4133598218
248	0.4131849849
249	0.4130433903
250	0.4129284213
251	0.4127335343
252	0.4125042481
253	0.4123332964
254	0.4120362402
255	0.4117305102
256	0.411419651
257	0.4112864977
258	0.4111437034
259	0.4108553008
260	0.4105757181
261	0.410354161
262	0.4102067841
263	0.4099485365
264	0.4097452985
265	0.4095815857
266	0.4093800392
267	0.4091975728
268	0.4090167707
269	0.4089258427
270	0.4086191955
271	0.4083544671
272	0.4080672089
273	0.4078839916
274	0.4077188488
275	0.4073784132
276	0.4072299718
277	0.4070561043
278	0.4067409426
279	0.4064395226
280	0.4063438629
281	0.4061887486
282	0.4059771495
283	0.40585025
284	0.405624908
285	0.4055442271
286	0.4054930784
287	0.4053717853
288	0.4053365508
289	0.4051902855
290	0.4048980015
291	0.4045425054
292	0.4042317553
293	0.4042261189
294	0.4041050341
295	0.4039254285
296	0.4037191231
297	0.4036322323
298	0.4034750903
299	0.4032259381
300	0.4031424638
301	0.4030195593
302	0.4026730459
303	0.4024178764
304	0.4022346177
305	0.4020721278
306	0.4019324087
307	0.401870788
308	0.4016806705
309	0.4013994566
310	0.4012710576
311	0.4011078345
312	0.4008909497
313	0.4006703892
314	0.4004674119
315	0.4004142686
316	0.4003291587
317	0.4001385538
318	0.3999789593
319	0.3998546758
320	0.3997309204
321	0.399472565
322	0.3992302626
323	0.3990381633
324	0.3987829139
325	0.3986462977
326	0.3983383635
327	0.3982169717
328	0.3981845879
329	0.3980441401
330	0.3977641718
331	0.3976421048
332	0.397482651
333	0.3971842328
334	0.3968583185
335	0.3967108284
336	0.3965960905
337	0.3963716709
338	0.3961948317
339	0.3961047073
340	0.3959434887
341	0.3958101873
342	0.3957492609
343	0.3956923647
344	0.3954414444
345	0.3952184514
346	0.3951684231
347	0.3949965497
348	0.3948917935
349	0.3947183911
350	0.3945627609
351	0.3945015021
352	0.3944208533
353	0.3942281187
