iter	Passed	Remaining
416	2930	5502
417	2938	5497
418	2951	5501
419	2959	5495
420	2969	5494
421	2979	5493
422	2993	5498
423	3000	5492
424	3014	5496
425	3020	5488
426	3030	5485
427	3041	5486
428	3053	5487
429	3062	5483
430	3069	5477
431	3082	5479
432	3089	5472
433	3101	5474
434	3109	5468
435	3121	5469
436	3128	5462
437	3139	5462
438	3147	5455
439	3159	5456
440	3167	5451
441	3177	5449
442	3185	5443
443	3196	5442
444	3204	5436
445	3215	5435
446	3222	5429
447	3233	5427
448	3241	5421
449	3252	5421
450	3260	5414
451	3271	5414
452	3279	5407
453	3292	5409
454	3300	5403
455	3311	5402
456	3318	5395
457	3327	5390
458	3334	5382
459	3339	5372
460	3345	5362
461	3351	5353
462	3356	5343
463	3364	5336
464	3371	5329
465	3377	5320
466	3383	5310
467	3389	5301
468	3394	5290
469	3400	5281
470	3406	5272
471	3412	5263
472	3418	5253
473	3423	5243
474	3429	5234
475	3436	5227
476	3442	5217
477	3448	5208
478	3455	5200
479	3462	5193
480	3475	5195
481	3483	5189
482	3495	5189
483	3504	5184
484	3515	5183
485	3522	5175
486	3531	5170
487	3537	5160
488	3542	5150
489	3548	5141
490	3553	5131
491	3559	5121
492	3564	5111
493	3569	5101
494	3575	5091
495	3580	5082
496	3585	5072
497	3591	5063
498	3597	5053
499	3604	5046
500	3612	5040
501	3620	5034
502	3626	5024
503	3633	5018
504	3641	5011
505	3654	5012
506	3660	5003
507	3669	4998
508	3680	4995
509	3688	4990
510	3700	4989
511	3709	4984
512	3720	4982
513	3728	4976
514	3741	4976
515	3749	4970
516	3763	4971
517	3770	4964
518	3783	4964
519	3791	4958
520	3802	4955
521	3812	4952
522	3825	4951
523	3833	4945
524	3841	4938
525	3852	4937
526	3861	4930
527	3870	4925
528	3876	4916
529	3881	4906
530	3886	4897
531	3892	4887
532	3898	4878
533	3903	4868
534	3908	4858
535	3913	4848
536	3919	4838
537	3924	4828
538	3929	4819
539	3934	4809
540	3940	4799
541	3945	4789
542	3950	4779
543	3955	4770
544	3961	4760
545	3966	4750
546	3971	4741
547	3976	4731
548	3982	4721
549	3987	4712
550	3992	4702
551	3999	4694
552	4004	4685
553	4009	4675
554	4015	4666
555	4020	4656
556	4025	4647
557	4030	4637
558	4035	4627
559	4041	4618
560	4046	4609
561	4051	4599
562	4057	4590
563	4062	4580
564	4067	4571
565	4072	4561
566	4077	4552
567	4082	4542
568	4089	4534
569	4094	4525
570	4099	4515
571	4105	4506
572	4110	4497
573	4114	4487
574	4120	4478
575	4125	4468
576	4130	4459
577	4135	4450
578	4140	4441
579	4145	4431
580	4150	4422
581	4156	4413
582	4161	4403
583	4166	4394
584	4171	4385
585	4176	4376
586	4181	4367
587	4187	4358
588	4192	4349
589	4198	4340
590	4204	4332
591	4209	4323
592	4215	4314
593	4220	4305
594	4225	4296
595	4230	4287
596	4236	4278
597	4241	4269
598	4246	4260
599	4252	4252
600	4257	4243
601	4262	4234
602	4267	4225
603	4272	4216
604	4278	4208
605	4284	4199
606	4290	4191
607	4295	4182
608	4300	4173
609	4305	4164
610	4311	4155
611	4316	4147
612	4321	4138
613	4326	4129
614	4332	4121
615	4338	4112
616	4343	4104
617	4349	4096
618	4356	4088
619	4364	4083
620	4372	4076
621	4380	4070
622	4392	4068
623	4401	4063
624	4413	4060
625	4421	4054
626	4435	4053
627	4443	4047
628	4456	4045
629	4463	4038
630	4477	4037
631	4486	4032
632	4500	4031
633	4509	4025
634	4521	4023
635	4529	4017
636	4540	4013
637	4548	4007
638	4555	3999
639	4564	3994
640	4569	3985
641	4574	3976
642	4581	3968
643	4586	3960
644	4592	3951
645	4597	3943
646	4603	3934
647	4608	3925
648	4613	3917
649	4619	3908
650	4624	3899
651	4630	3892
652	4636	3883
653	4641	3874
654	4646	3866
655	4652	3857
656	4657	3849
657	4662	3840
658	4668	3832
659	4674	3824
660	4679	3815
661	4684	3807
662	4690	3798
663	4695	3790
664	4701	3782
665	4706	3773
666	4711	3765
667	4716	3756
668	4722	3747
669	4727	3739
670	4732	3731
671	4737	3722
672	4743	3714
673	4748	3705
674	4753	3697
675	4758	3688
676	4763	3679
677	4768	3671
678	4774	3663
679	4780	3655
680	4785	3647
681	4790	3638
682	4795	3630
683	4801	3621
684	4806	3613
685	4811	3605
686	4816	3596
687	4821	3588
688	4826	3579
689	4832	3571
690	4837	3563
691	4842	3554
692	4847	3546
693	4852	3538
694	4857	3529
695	4863	3521
696	4868	3513
697	4873	3505
698	4878	3496
699	4884	3488
700	4890	3481
701	4895	3473
702	4900	3464
703	4906	3456
704	4911	3448
705	4916	3440
706	4921	3432
707	4926	3423
708	4932	3415
709	4937	3407
710	4942	3399
711	4947	3391
712	4952	3382
713	4958	3374
714	4963	3366
715	4968	3358
716	4973	3350
717	4978	3342
718	4983	3333
719	4988	3325
720	4994	3317
721	4999	3309
722	5004	3301
723	5009	3293
724	5014	3285
725	5019	3277
726	5024	3269
727	5029	3261
728	5035	3253
729	5040	3245
730	5045	3237
731	5050	3228
732	5055	3221
733	5060	3212
734	5065	3204
735	5072	3197
736	5078	3190
737	5084	3182
738	5091	3176
739	5097	3168
740	5103	3161
741	5111	3155
742	5117	3147
743	5124	3140
744	5129	3133
745	5136	3125
746	5143	3119
747	5148	3111
748	5155	3104
749	5162	3097
750	5167	3089
751	5174	3082
752	5180	3075
753	5187	3068
754	5195	3061
755	5201	3054
756	5208	3048
757	5213	3040
758	5221	3033
759	5227	3026
760	5234	3019
761	5241	3012
762	5247	3005
763	5254	2998
764	5260	2991
765	5266	2983
766	5273	2977
767	5278	2969
768	5287	2963
769	5292	2955
770	5298	2948
771	5306	2941
772	5311	2934
773	5317	2926
774	5323	2919
775	5328	2911
776	5333	2903
777	5338	2895
778	5343	2887
779	5348	2880
780	5353	2872
781	5359	2864
782	5364	2856
783	5369	2849
784	5374	2841
785	5379	2833
786	5384	2825
787	5389	2817
788	5395	2810
789	5400	2802
790	5405	2794
791	5410	2787
792	5415	2779
793	5421	2772
794	5426	2764
795	5431	2756
796	5436	2749
797	5441	2741
798	5447	2733
799	5452	2726
800	5457	2718
801	5462	2710
802	5467	2703
803	5472	2695
804	5478	2688
805	5483	2680
806	5489	2673
807	5494	2665
808	5499	2657
809	5504	2650
810	5509	2642
811	5515	2635
812	5520	2627
813	5525	2620
814	5530	2612
815	5535	2605
816	5540	2597
817	5546	2589
818	5551	2582
819	5556	2574
820	5561	2567
821	5566	2559
822	5571	2552
823	5576	2544
824	5581	2537
825	5586	2529
826	5592	2522
827	5597	2514
828	5602	2507
829	5607	2499
830	5612	2492
831	5617	2484
832	5622	2477
833	5627	2469
834	5632	2462
835	5638	2454
836	5643	2447
837	5648	2440
838	5653	2432
839	5659	2425
840	5664	2417
841	5669	2410
842	5674	2403
843	5679	2395
844	5684	2388
845	5690	2381
846	5695	2373
847	5700	2366
848	5705	2358
849	5710	2351
850	5715	2344
851	5721	2336
852	5726	2329
853	5731	2322
854	5736	2314
855	5741	2307
856	5747	2300
857	5752	2292
858	5757	2285
859	5762	2278
860	5767	2270
861	5773	2263
862	5778	2256
863	5783	2248
864	5788	2241
865	5793	2234
866	5798	2227
867	5803	2219
868	5809	2212
869	5814	2205
870	5819	2198
871	5824	2190
872	5829	2183
873	5834	2176
874	5839	2169
875	5844	2161
876	5849	2154
877	5855	2147
878	5860	2140
879	5865	2132
880	5870	2125
881	5875	2118
882	5880	2111
883	5886	2104
884	5891	2096
885	5896	2089
886	5901	2082
887	5906	2075
888	5911	2068
889	5917	2060
890	5922	2053
891	5927	2046
892	5932	2039
893	5937	2032
894	5942	2025
895	5947	2017
896	5952	2010
897	5958	2003
898	5963	1996
899	5969	1989
900	5974	1982
901	5979	1975
902	5984	1968
903	5990	1961
904	5995	1954
905	6000	1947
906	6005	1940
907	6011	1933
908	6016	1926
909	6021	1918
910	6026	1911
911	6031	1904
912	6036	1897
913	6041	1890
914	6047	1883
915	6052	1876
916	6057	1869
917	6062	1862
918	6068	1855
919	6073	1848
920	6078	1841
921	6083	1834
922	6089	1827
923	6094	1820
924	6100	1813
925	6106	1806
926	6111	1799
927	6116	1792
928	6121	1785
929	6126	1778
930	6131	1771
931	6137	1764
932	6142	1757
933	6147	1750
934	6153	1743
935	6158	1736
936	6163	1729
937	6168	1722
938	6173	1716
939	6178	1709
940	6183	1702
941	6189	1695
942	6194	1688
943	6199	1681
944	6205	1674
945	6210	1667
946	6215	1660
947	6220	1653
948	6225	1646
949	6230	1639
950	6235	1632
951	6240	1625
952	6246	1618
953	6251	1612
954	6256	1605
955	6262	1598
956	6267	1591
957	6272	1584
958	6277	1577
959	6282	1570
960	6287	1563
961	6292	1556
962	6297	1549
963	6303	1543
964	6309	1536
965	6314	1529
966	6319	1522
967	6323	1515
968	6329	1508
969	6334	1501
970	6339	1495
971	6344	1488
972	6350	1481
973	6355	1474
974	6360	1467
975	6365	1460
976	6370	1454
977	6376	1447
978	6381	1440
979	6386	1433
980	6392	1427
981	6397	1420
982	6402	1413
983	6407	1406
984	6412	1399
985	6417	1392
986	6423	1386
987	6428	1379
988	6433	1372
989	6438	1365
990	6443	1358
991	6448	1352
992	6453	1345
993	6458	1338
994	6464	1331
995	6469	1324
996	6474	1318
997	6479	1311
998	6484	1304
999	6490	1298
1000	6495	1291
1001	6501	1284
1002	6506	1277
1003	6511	1271
1004	6516	1264
1005	6522	1257
1006	6527	1250
1007	6532	1244
1008	6537	1237
1009	6542	1230
1010	6548	1224
1011	6553	1217
1012	6559	1210
1013	6564	1204
1014	6569	1197
1015	6574	1190
1016	6579	1183
1017	6584	1177
1018	6590	1170
1019	6595	1163
1020	6600	1157
1021	6606	1150
1022	6611	1143
1023	6616	1137
1024	6621	1130
1025	6626	1123
1026	6631	1117
1027	6637	1110
1028	6642	1103
1029	6647	1097
1030	6652	1090
1031	6657	1083
1032	6662	1077
1033	6667	1070
1034	6673	1063
1035	6678	1057
1036	6683	1050
1037	6688	1043
1038	6693	1037
1039	6698	1030
1040	6704	1023
1041	6709	1017
1042	6714	1010
1043	6719	1004
1044	6724	997
1045	6729	990
1046	6735	984
1047	6740	977
1048	6745	970
1049	6750	964
1050	6755	957
1051	6760	951
1052	6766	944
1053	6771	937
1054	6776	931
1055	6781	924
1056	6786	918
1057	6792	911
1058	6797	905
1059	6802	898
1060	6807	891
1061	6812	885
1062	6818	878
1063	6823	872
1064	6828	865
1065	6833	858
1066	6838	852
1067	6843	845
1068	6848	839
1069	6854	832
1070	6859	826
1071	6864	819
1072	6869	813
1073	6874	806
1074	6879	799
1075	6884	793
1076	6890	786
1077	6895	780
1078	6900	773
1079	6905	767
1080	6910	760
1081	6915	754
1082	6921	747
1083	6926	741
1084	6931	734
1085	6936	728
1086	6941	721
1087	6947	715
1088	6952	708
1089	6957	702
1090	6962	695
1091	6967	689
1092	6972	682
1093	6979	676
1094	6984	669
1095	6989	663
1096	6994	656
1097	6999	650
1098	7004	643
1099	7009	637
1100	7015	630
1101	7020	624
1102	7025	617
1103	7030	611
1104	7035	604
1105	7040	598
1106	7046	591
1107	7051	585
1108	7056	579
1109	7061	572
1110	7066	566
1111	7071	559
1112	7077	553
1113	7082	546
1114	7087	540
1115	7092	533
